,Data Set,Target,Biological Group,Control,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,8-nit4,nit4,W1N1,,0.32024,0.13670,0.13682,0.05581,0.05586,0.44961,0.30219,0.30229,0.12337,0.12341,0.44961,0.30219,0.30229,0.12337,0.12341,6,26.09,0.62443,0.25492,
,6-nrt2.5,nrt2.5,W0N0,,0.04204,0.04016,0.04025,0.01640,0.01643,0.12078,0.14571,0.14590,0.05949,0.05957,0.12078,0.14571,0.14590,0.05949,0.05957,6,34.94,1.28073,0.52286,
,6-nrt2.5,nrt2.5,W0N1,,0.03076,0.06516,0.06519,0.03258,0.03260,0.03521,0.07676,0.07680,0.03838,0.03840,0.03521,0.07676,0.07680,0.03838,0.03840,4,35.35,2.83991,1.41996,
,6-nrt2.5,nrt2.5,W1N0,,1.00000,0.65989,0.65989,0.26940,0.26940,1.18381,0.98191,0.98191,0.40086,0.40086,1.18381,0.98191,0.98191,0.40086,0.40086,6,30.69,0.88470,0.36118,
,6-nrt2.5,nrt2.5,W1N1,,0.03009,0.02554,0.02562,0.01043,0.01046,0.04225,0.04203,0.04213,0.01716,0.01720,0.04225,0.04203,0.04213,0.01716,0.01720,6,35.38,1.13775,0.46449,
,13-nudx,nudx,W0N0,,0.18108,0.20246,0.20255,0.08265,0.08269,0.52018,0.69652,0.69674,0.28435,0.28444,0.52018,0.69652,0.69674,0.28435,0.28444,6,24.81,1.65198,0.67442,
,13-nudx,nudx,W0N1,,0.16114,0.15879,0.15890,0.06483,0.06487,0.18447,0.20502,0.20513,0.08370,0.08374,0.18447,0.20502,0.20513,0.08370,0.08374,6,24.98,1.45606,0.59443,
,13-nudx,nudx,W1N0,,1.00000,0.47555,0.47555,0.19414,0.19414,1.18381,0.81904,0.81904,0.33437,0.33437,1.18381,0.81904,0.81904,0.33437,0.33437,6,22.28,0.70265,0.28686,
,13-nudx,nudx,W1N1,,0.12024,0.08081,0.08097,0.03299,0.03305,0.16881,0.14337,0.14354,0.05853,0.05860,0.16881,0.14337,0.14354,0.05853,0.05860,6,25.41,0.99307,0.40542,
,Multiple,pyl6,W0N0,,0.18455,0.21694,0.21702,0.06263,0.06265,0.53014,0.73550,0.73569,0.21232,0.21238,0.53014,0.73550,0.73569,0.21232,0.21238,12,32.96,1.64766,0.47564,
,Multiple,pyl6,W0N1,,0.05689,0.07788,0.07794,0.02463,0.02465,0.06513,0.09523,0.09530,0.03011,0.03014,0.06513,0.09523,0.09530,0.03011,0.03014,10,34.61,1.91877,0.60677,
,Multiple,pyl6,W1N0,,1.00000,1.11996,1.11996,0.32330,0.32330,1.18381,1.45317,1.45317,0.41949,0.41949,1.18381,1.45317,1.45317,0.41949,0.41949,12,30.59,1.56975,0.45315,
,Multiple,pyl6,W1N1,,0.72553,0.55207,0.55209,0.15937,0.15937,1.01862,0.93831,0.93833,0.27087,0.27087,1.01862,0.93831,0.93833,0.27087,0.27087,12,31.04,1.06653,0.30788,
,1-roxy13,roxy13,W0N0,,0.06693,0.08747,0.08752,0.03571,0.03573,0.19225,0.28844,0.28858,0.11775,0.11781,0.19225,0.28844,0.28858,0.11775,0.11781,6,30.88,1.78391,0.72828,
,1-roxy13,roxy13,W0N1,,1.00000,0.80821,0.80821,0.32995,0.32995,1.14478,1.09647,1.09647,0.44763,0.44763,1.14478,1.09647,1.09647,0.44763,0.44763,6,27.19,1.10319,0.45038,
,1-roxy13,roxy13,W1N0,,0.08147,0.06751,0.06760,0.02756,0.02760,0.09644,0.09346,0.09356,0.03816,0.03819,0.09644,0.09346,0.09356,0.03816,0.03819,6,30.61,1.13115,0.46179,
,1-roxy13,roxy13,W1N1,,0.34083,0.29204,0.29211,0.11922,0.11925,0.47852,0.47940,0.47948,0.19571,0.19575,0.47852,0.47940,0.47948,0.19571,0.19575,6,28.66,1.16958,0.47748,
,2-roxy16,roxy16,W0N0,,0.26036,0.23936,0.23937,0.09772,0.09772,0.74793,0.88119,0.88121,0.35975,0.35975,0.74793,0.88119,0.88121,0.35975,0.35975,6,30.79,1.41630,0.57820,
,2-roxy16,roxy16,W0N1,,1.00000,0.34008,0.34008,0.13884,0.13884,1.14478,0.70554,0.70554,0.28803,0.28803,1.14478,0.70554,0.70554,0.28803,0.28803,6,28.71,0.52391,0.21388,
,2-roxy16,roxy16,W1N0,,0.22339,0.13455,0.13456,0.05493,0.05494,0.26445,0.20744,0.20745,0.08469,0.08469,0.26445,0.20744,0.20745,0.08469,0.08469,6,31.02,0.92790,0.37881,
,2-roxy16,roxy16,W1N1,,0.44044,0.39991,0.39991,0.16326,0.16326,0.61836,0.64676,0.64676,0.26404,0.26404,0.61836,0.64676,0.64676,0.26404,0.26404,6,29.98,1.39879,0.57106,
,6-roxy2,roxy2,W0N0,,0.51775,0.30098,0.30110,0.12287,0.12292,1.48732,1.39589,1.39610,0.56987,0.56996,1.48732,1.39589,1.39610,0.56987,0.56996,6,31.50,0.78127,0.31895,
,6-roxy2,roxy2,W0N1,,1.00000,1.37629,1.37629,0.56187,0.56187,1.14478,1.68183,1.68183,0.68660,0.68660,1.14478,1.68183,1.68183,0.68660,0.68660,6,30.62,1.84968,0.75513,
,6-roxy2,roxy2,W1N0,,0.40356,0.38452,0.38463,0.15698,0.15702,0.47774,0.51463,0.51474,0.21010,0.21014,0.47774,0.51463,0.51474,0.21010,0.21014,6,31.84,1.28053,0.52278,
,6-roxy2,roxy2,W1N1,,0.28202,0.13407,0.13438,0.05474,0.05486,0.39595,0.27872,0.27901,0.11379,0.11391,0.39595,0.27872,0.27901,0.11379,0.11391,6,32.32,0.63892,0.26084,
,2-roxy4,roxy4,W0N0,,0.46667,0.29032,0.29036,0.11852,0.11854,1.34058,1.29276,1.29284,0.52777,0.52780,1.34058,1.29276,1.29284,0.52777,0.52780,6,27.57,0.90904,0.37111,
,2-roxy4,roxy4,W0N1,,1.00000,0.52611,0.52611,0.21478,0.21478,1.14478,0.84199,0.84199,0.34374,0.34374,1.14478,0.84199,0.84199,0.34374,0.34374,6,26.45,0.76876,0.31385,
,2-roxy4,roxy4,W1N0,,0.23805,0.09334,0.09347,0.03811,0.03816,0.28181,0.17962,0.17972,0.07333,0.07337,0.28181,0.17962,0.17972,0.07333,0.07337,6,28.55,0.57295,0.23391,
,2-roxy4,roxy4,W1N1,,0.21427,0.10723,0.10734,0.04378,0.04382,0.30083,0.21693,0.21703,0.08856,0.08860,0.30083,0.21693,0.21703,0.08856,0.08860,6,28.70,0.73125,0.29853,
,13-roxy8,roxy8,W0N0,,0.08297,0.08144,0.08150,0.03642,0.03645,0.23835,0.29254,0.29267,0.13083,0.13089,0.23835,0.29254,0.29267,0.13083,0.13089,5,29.68,1.56489,0.69984,
,13-roxy8,roxy8,W0N1,,0.06036,0.04249,0.04257,0.01735,0.01738,0.06910,0.06023,0.06030,0.02459,0.02462,0.06910,0.06023,0.06030,0.02459,0.02462,6,30.19,1.12236,0.45820,
,13-roxy8,roxy8,W1N0,,1.00000,0.42835,0.42835,0.17487,0.17487,1.18381,0.78169,0.78169,0.31912,0.31912,1.18381,0.78169,0.78169,0.31912,0.31912,6,25.71,0.68292,0.27880,
,13-roxy8,roxy8,W1N1,,0.10221,0.03117,0.03136,0.01558,0.01568,0.14349,0.08640,0.08653,0.04320,0.04327,0.14349,0.08640,0.08653,0.04320,0.04327,4,29.35,0.48622,0.24311,
,1-tar,tar,W0N0,,0.06839,0.07948,0.07950,0.03245,0.03246,0.19647,0.27034,0.27040,0.11037,0.11039,0.19647,0.27034,0.27040,0.11037,0.11039,6,29.32,1.57298,0.64217,
,1-tar,tar,W0N1,,0.28761,0.24466,0.24469,0.09988,0.09989,0.32925,0.32723,0.32726,0.13359,0.13360,0.32925,0.32723,0.32726,0.13359,0.13360,6,27.38,1.15139,0.47005,
,1-tar,tar,W1N0,,1.00000,0.79767,0.79767,0.32565,0.32565,1.18381,1.11606,1.11606,0.45563,0.45563,1.18381,1.11606,1.11606,0.45563,0.45563,6,25.69,1.07968,0.44078,
,1-tar,tar,W1N1,,0.03270,0.02321,0.02324,0.00947,0.00949,0.04591,0.04037,0.04040,0.01648,0.01650,0.04591,0.04037,0.04040,0.01648,0.01650,6,30.32,0.96063,0.39218,
