,Data Set,Target,Biological Group,Control,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,4-nit4,nit4,W1N0,,1.00000,0.23830,0.23830,0.11915,0.11915,1.44232,0.96065,0.96065,0.48033,0.48033,1.44232,0.96065,0.96065,0.48033,0.48033,4,23.91,0.37205,0.18602,
,4-nit4,nit4,W1N1,,0.04743,0.03699,0.03721,0.01510,0.01519,0.04743,0.03934,0.03955,0.01606,0.01614,0.04743,0.03934,0.03955,0.01606,0.01614,6,28.67,1.21760,0.49708,
,6-nrt2.5,nrt2.5,W0N0,,0.35776,0.19123,0.19127,0.09561,0.09564,0.52326,0.33127,0.33133,0.16563,0.16566,0.52326,0.33127,0.33133,0.16563,0.16566,4,30.86,0.77868,0.38934,
,6-nrt2.5,nrt2.5,W0N1,,0.01810,0.02022,0.02024,0.00904,0.00905,0.04345,0.05837,0.05840,0.02610,0.02612,0.04345,0.05837,0.05840,0.02610,0.02612,5,35.21,1.62738,0.72779,
,6-nrt2.5,nrt2.5,W1N0,,1.00000,0.64707,0.64707,0.37359,0.37359,1.44232,1.29450,1.29450,0.74738,0.74738,1.44232,1.29450,1.29450,0.74738,0.74738,3,29.36,0.94265,0.54424,
,6-nrt2.5,nrt2.5,W1N1,,0.06151,0.06592,0.06595,0.02691,0.02692,0.06151,0.06816,0.06819,0.02783,0.02784,0.06151,0.06816,0.06819,0.02783,0.02784,6,33.43,1.56112,0.63732,
,3-nudx,nudx,W0N0,,0.59274,0.10021,0.10027,0.04091,0.04094,0.86696,0.32861,0.32865,0.13415,0.13417,0.86696,0.32861,0.32865,0.13415,0.13417,6,22.65,0.24555,0.10024,
,3-nudx,nudx,W0N1,,0.32540,0.25828,0.25831,0.10544,0.10546,0.78117,0.85097,0.85103,0.34741,0.34743,0.78117,0.85097,0.85103,0.34741,0.34743,6,23.52,1.15284,0.47064,
,3-nudx,nudx,W1N0,,1.00000,0.69392,0.69392,0.28329,0.28329,1.44232,1.34403,1.34403,0.54870,0.54870,1.44232,1.34403,1.34403,0.54870,0.54870,6,21.89,1.00787,0.41146,
,3-nudx,nudx,W1N1,,0.03970,0.01271,0.01279,0.00519,0.00522,0.03970,0.01695,0.01701,0.00692,0.00694,0.03970,0.01695,0.01701,0.00692,0.00694,6,26.58,0.46492,0.18980,
,7-pyl6,pyl6,W0N0,,0.02297,0.00307,0.00647,0.00153,0.00324,0.03359,0.01225,0.01481,0.00612,0.00741,0.03359,0.01225,0.01481,0.00612,0.00741,4,28.33,0.14130,0.07065,
,7-pyl6,pyl6,W0N1,,0.00568,0.00554,0.00586,0.00226,0.00239,0.01363,0.01674,0.01736,0.00683,0.00709,0.01363,0.01674,0.01736,0.00683,0.00709,6,29.80,1.03151,0.42111,
,7-pyl6,pyl6,W1N0,,1.00000,0.49810,0.49810,0.28758,0.28758,1.44232,1.14928,1.14928,0.66354,0.66354,1.44232,1.14928,1.14928,0.66354,0.66354,3,24.34,0.52659,0.30403,
,7-pyl6,pyl6,W1N1,,0.18754,0.05929,0.06278,0.02421,0.02563,0.18754,0.07949,0.08212,0.03245,0.03353,0.18754,0.07949,0.08212,0.03245,0.03353,6,26.11,0.33424,0.13645,
,1-roxy13,roxy13,W0N0,,0.21600,0.08751,0.08766,0.04376,0.04383,0.31592,0.16694,0.16711,0.08347,0.08355,0.31592,0.16694,0.16711,0.08347,0.08355,4,30.63,0.62233,0.31116,
,1-roxy13,roxy13,W0N1,,1.00000,0.50877,0.50877,0.22753,0.22753,2.40065,2.16796,2.16796,0.96954,0.96954,2.40065,2.16796,2.16796,0.96954,0.96954,5,28.28,0.78150,0.34950,
,1-roxy13,roxy13,W1N0,,0.02587,0.02952,0.02955,0.01476,0.01478,0.03731,0.04848,0.04853,0.02424,0.02427,0.03731,0.04848,0.04853,0.02424,0.02427,4,33.89,1.75250,0.87625,
,1-roxy13,roxy13,W1N1,,0.98374,1.25427,1.25427,0.62713,0.62713,0.98374,1.28464,1.28464,0.64232,0.64232,0.98374,1.28464,1.28464,0.64232,0.64232,4,28.30,1.95845,0.97922,
,6-roxy16,roxy16,W0N0,,0.59000,0.08810,0.08817,0.04405,0.04408,0.86295,0.31985,0.31989,0.15993,0.15995,0.86295,0.31985,0.31989,0.15993,0.15995,4,31.00,0.21343,0.10671,
,6-roxy16,roxy16,W0N1,,0.66076,1.42942,1.42943,0.63926,0.63926,1.58626,3.62991,3.62992,1.62334,1.62335,1.58626,3.62991,3.62992,1.62334,1.62335,5,30.84,3.09205,1.38281,
,6-roxy16,roxy16,W1N0,,0.12242,0.01512,0.01538,0.00756,0.00769,0.17657,0.11196,0.11203,0.05598,0.05602,0.17657,0.11196,0.11203,0.05598,0.05602,4,33.25,0.17650,0.08825,
,6-roxy16,roxy16,W1N1,,1.00000,0.61324,0.61324,0.25036,0.25036,1.00000,0.67510,0.67510,0.27561,0.27561,1.00000,0.67510,0.67510,0.27561,0.27561,6,30.25,0.87653,0.35784,
,7-roxy2,roxy2,W0N0,,0.67822,0.20921,0.20921,0.10460,0.10461,0.99198,0.45484,0.45484,0.22742,0.22742,0.99198,0.45484,0.45484,0.22742,0.22742,4,30.30,0.46948,0.23474,
,7-roxy2,roxy2,W0N1,,0.81980,0.14845,0.14845,0.06060,0.06061,1.96805,1.51102,1.51102,0.61687,0.61687,1.96805,1.51102,1.51102,0.61687,0.61687,6,30.02,0.27560,0.11251,
,7-roxy2,roxy2,W1N0,,0.40054,0.16047,0.16048,0.08024,0.08024,0.57771,0.42740,0.42741,0.21370,0.21371,0.57771,0.42740,0.42741,0.21370,0.21371,4,31.11,0.60977,0.30489,
,7-roxy2,roxy2,W1N1,,1.00000,0.27474,0.27474,0.11216,0.11216,1.00000,0.39392,0.39392,0.16082,0.16082,1.00000,0.39392,0.39392,0.16082,0.16082,6,29.71,0.41815,0.17071,
,1-roxy4,roxy4,W0N0,,0.07278,0.05372,0.05377,0.02193,0.02195,0.10645,0.08648,0.08653,0.03530,0.03533,0.10645,0.08648,0.08653,0.03530,0.03533,6,30.68,1.06869,0.43629,
,1-roxy4,roxy4,W0N1,,1.00000,0.10857,0.10857,0.07677,0.07677,2.40065,1.81003,1.81003,1.27988,1.27988,2.40065,1.81003,1.81003,1.27988,1.27988,2,26.89,0.15718,0.11115,
,1-roxy4,roxy4,W1N0,,0.11365,0.13751,0.13754,0.05614,0.05615,0.16392,0.22301,0.22304,0.09104,0.09106,0.16392,0.22301,0.22304,0.09104,0.09106,6,30.04,1.75180,0.71517,
,1-roxy4,roxy4,W1N1,,0.55304,0.40652,0.40653,0.16596,0.16597,0.55304,0.43547,0.43548,0.17778,0.17778,0.55304,0.43547,0.43548,0.17778,0.17778,6,27.75,1.06420,0.43446,
,8-roxy8,roxy8,W0N0,,0.18847,0.18356,0.18431,0.07494,0.07524,0.27566,0.28430,0.28534,0.11607,0.11649,0.27566,0.28430,0.28534,0.11607,0.11649,6,26.62,1.68147,0.68646,
,8-roxy8,roxy8,W0N1,,0.03976,0.03112,0.03184,0.01270,0.01300,0.09545,0.10321,0.10448,0.04213,0.04265,0.09545,0.10321,0.10448,0.04213,0.04265,6,29.31,1.35099,0.55154,
,8-roxy8,roxy8,W1N0,,1.00000,0.38757,0.38757,0.19379,0.19379,1.44232,1.05698,1.05698,0.52849,0.52849,1.44232,1.05698,1.05698,0.52849,0.52849,4,23.74,0.66911,0.33455,
,8-roxy8,roxy8,W1N1,,0.08720,0.03397,0.03577,0.01387,0.01460,0.08720,0.04195,0.04342,0.01713,0.01773,0.08720,0.04195,0.04342,0.01713,0.01773,6,27.95,0.67243,0.27452,
,1-tar,tar,W0N0,,0.38122,0.18879,0.18895,0.07707,0.07714,0.55758,0.33470,0.33489,0.13664,0.13672,0.55758,0.33470,0.33489,0.13664,0.13672,6,26.40,0.72133,0.29448,
,1-tar,tar,W0N1,,0.48820,0.00660,0.00986,0.00467,0.00697,1.17199,0.87459,0.87476,0.61843,0.61855,1.17199,0.87459,0.87476,0.61843,0.61855,2,26.04,0.01969,0.01392,
,1-tar,tar,W1N0,,1.00000,0.86378,0.86378,0.35264,0.35264,1.44232,1.53520,1.53520,0.62674,0.62674,1.44232,1.53520,1.53520,0.62674,0.62674,6,24.99,1.25814,0.51363,
,1-tar,tar,W1N1,,0.07903,0.03213,0.03240,0.01312,0.01323,0.07903,0.03912,0.03934,0.01597,0.01606,0.07903,0.03912,0.03934,0.01597,0.01606,6,28.69,0.59222,0.24177,
